ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
2256,`perfectly,adv,flawlessly,,,
2344,`pretend,vb,"make as if (to), do as if, make it (seem/look) like/as if/as though, make (smn/sth) out to be, put on, fake, play, spin, weave, hide the truth, keep sth back, make-believe","act like, pass oneself off as","[G1] She pretended to reach for the door → She made as if to reach for the door
[G2] Don't pretend that you're perfect → Don't make out that you're perfect
[G3] Is she pretending to like me? → Is she putting on that she likes me?
[G4] Now he's pretending to look brave → Now he wants to look brave
[G5] He's not a cook, he just pretends to be one on TV → He's not a cook, he just plays one on TV
[L1|G2] https://transcripts.foreverdreaming.org/viewtopic.php?f=167&t=23926
[S] appear, act, try",
2543,"`incredible, `unbelievable",adj,,,[G1] He's under unbelievable pressure → He's under pressure like you wouldn't believe,
2873,`advocate,n,,,"[G1] To play devil's advocate, ... → In all fairness, ...
[S] honestly",
2916,`honestly,adv,"truthfully, truly, in truth, truth to tell, to be truthful, to tell (you) the truth, to speak freely, to speak openly, if you want to know the truth, truth be told, in all fairness, forsooth, straight out, outspokenly",frankly,"[G1] Honestly, I have no clue → To tell you the truth, I have no clue → Between you and me/us, I have no clue → To speak freely/openly, I have no clue → Truth be told, I have no clue
[G2] That was honestly really scary → I won't lie, that was really scary",
3066,`frequency,n,,,[G1] It comes down to it's frequency → It comes down to how often in happens,
3143,`differently,adv,"in another way, in other ways",,[G1] Each person handles it differently → Each person handles it in their own way,
3355,`successful,adj,"booming, thriving, roaring, runaway, have it going on",,[G1] He is (pretty) successful → He has done (pretty) well for himself,
3429,`patient,adj,,,"[G1] Please be patient while ... → Please bear with us while ...
[S] wait",
3477,`controversial,adj,"heated, hot, hard, talked about",,,
3499,`delay,n,hold-up,,,
3617,`delay,vb,"stall, hold up, hold off, put off, shelve, set back, slow down, mark time, buy time","bog down, push back","[G1] It was good seeing you today. I wish we hadn't delayed it for so long. → It was good seeing you today. I wish we hadn't left it so long.
[L1|G1] https://transcripts.foreverdreaming.org/viewtopic.php?t=23922
[S] postpone",
3760,`frequent,adj,"steady, many, a good many, lots of, heaps of",,,
4140,`await,vb,"abide, bide, look for",,[S] expect,
4657,`unfortunate,adj,"unlucky, down on smn's luck, sad to say",,,
9999,`-able,suff,"can + verb, can be + verb-ed",,[G1] This is doable → This can be done → I can do this,
9999,`ability,n,"skill, strength, gift, cunning, skillfulness, understanding, makings, means, brains, knack, hang of, know-how, deftness, skillset, breadth/depth of mind, cleverness, quickness, readiness, wherewithal, wisdom, what it takes",,"[G1] You have the ability to get it done → You have the means to get it done → You have what it takes to get it done → It's in your hands to get it done → You can get it done
[S] able",
9999,`accomplish,vb,"do, get done, fulfill, bring about, come out on top, have the best of it, make one's mark, pull off, put off, swing, reach one's goal, win one's spurs",,[G1] That's what we want to accomplish with this → That's what we want to get done/do with this,
9999,`admit,vb,"[D1|to accept something] own, own up, acknowledge, come out with, come clean, make a clean breast of, unburden [D2|to offer entrance to a place] let (smn/sth) in, bring in, open the door, show in, trow open, welcome, take smn in",fess up,"[G1] I have to admit → I have to say
[G2] He knows more that he'd care to admit → He knows more that he lets on
[S] honest",
9999,`affect,vb,"bear upon, override, tell upon, work upon, take a/its toll (on), take a hit",,"[G1] Our business will be affected if this happens → Our business will take a hit if this happens
[S] change, influence, impact",
9999,`afraid,adj,"[D1] scared, fearful, in a fright, wild-eyed [D2] burdened, on edge, worried [D3] sorry, sad",,"[G1] I'm afraid I cannot come
[S|G1] unfortunately",PUT TOGETHER. MERGE WITH SCARED? WILD-EYED GOES BETTER WITH STARTLED
9999,"`allegedly, `supposedly, `reportedly",adv,"be said to, be thought to, so they say",,"[G1] He allegedly stole the book → They say (that) he stole the book
[G2] Teething supposedly happens later → Teething is said/thought/believed to happen later",
9999,`alternative,adj,"another, other",,"[G1] Are there any alternative words? → Are there any other words?
[S] different",
9999,`amount,n,"batch, bunch, great deal, heap, lot, spoonful, weight, body, thimbleful",,"[G1] John is leading in the polls by a good amount → John is leading in the polls by a good bit/deal
[G2] Nobody's going to spend that amount of time working on this → Nobody's going to spend this much/that kind of time working on this
[G3] See if you have the same amount → See if you have as many
[G4] It's hard to understand the amount of power he has → It's hard to understand how much power he has
[G5] Your body only has a certain amount of blood → Your body only has so much blood
[G6] A great amount of evidence → A great body of evidence
[S] margin",
9999,`amount,vb,"lead, come",,"[G1] Their friendship didn't amount to anything → Their friendship didn't lead/come to anything
[S] result",
9999,`announce,vb,"make known, speak out, to give out, make news of, spread abroad, let it be known, tell the world",,[G1] He then announced that he'd be leaving soon → He then let it be known that he'd be leaving soon,MERGE
9999,`apply,vb,"1) to ask, beseech, bid for, put in for, seek, 2) to bring into play, bring to bear, 3) to lay on, put on, smear on, spread on, work in",,[G1] Every possible pressure was applied on the king → Every possible pressure was brought to bear on the king,
9999,`approach,vb,"[D1|to get closer] come/go towards, go at sth, draw near, come up, near, bear down on, come on, creep up on, make towards [D2|to take the first steps toward something] go about (sth), tackle [D3|speak to (someone) for the first time about something] speak to, talk to",make an offer,"[G1] They sought to approach it from another direction → They sought to go at it from another direction
[G2] Christmas is approaching → Christmas is drawing near/coming up",
9999,`as opposed to,prep,"unlike, over against",,"[G1] As opposed to the Smiths, the Johnsons were well off → Unlike the Smiths, the Johnsons were well off",
9999,`assign,vb,"share out, to deal out, earmark, make over, put in one's hands, settle on",task,[G1] He was assigned to find more clues → He was asked to find more clues → He was told to find more clues → He was given the job of finding more clues → It was put to him to find more clues,MERGE
9999,`assure,vb,"1) to bring over, hearten, soothe, put/set one's mind at rest, win over, sell smn on 2) to clinch, settle, 3) to plight one's word, swear to, take oath, underwrite",,"[G1] It wasn't brains that got me here, I can assure you of that → It wasn't brains that got me here, I can tell you that (much)
[S] promise, convince, prove",
9999,`attention,n,"limelight              1) heed, heedfulness, thought, 2) care, looking after, thoughtfulness, 3) awareness, knowledge of, mindfulness of, understanding of",,"[G1] This will call attention to the absurdities happening here → This will bring to the fore the absurdities happening here
[S] pay attention",PUT TOGETHER
9999,`audience,n,"1) crowd, onlookers, playgoers, following, gathering, house, throng, 2) hearing, meeting, talk 3) reach, readership",,[G1] They don't have a big audience → They don't have a big reach,
9999,`avoid,vb,"shun, dodge, duck, shrink from, sidestep, spurn, keep/stay away from, shy away from, eschew, ice out, keep at arm's length, give the cold shoulder",steer clear,"[G1] He avoided giving me an answer → He shied away from giving me an answer
[S] evade",
9999,`basically,adv,"mainly, mostly, as good as, pretty much, more or less, give or take, might as well be, nearly, only, at bottom, at heart, firstly",,"[G1] Basically, he got mad → So, he got mad
[S] virtually",
9999,`basis,n,,,"[G1] On a yearly basis → Yearly → Every year
[G2] On a daily basis → Daily → Every day
[S] foundation",
9999,`catch,vb,"1) to bind, clutch, fasten on, get hold, of, get in one's hands, grasp, hold fast, lay hands on, lay hold of, make one's own, overtake, pick up, hook, net, land, take, trap, win, 2) (of setting off by ferry or such like) to board, get on, make, 3) (of something said) to follow, grasp, hear, make out, take in, understand,  4) to bewitch, fill/hold the mind, grip, spellbind, 5) (of a feeling or mood) to bring out, find the words for, get to the heart of, put into words, 6) (of sickness) to become sick, fall sick, break out with, go down with, come down with",,"[G1] We're going to catch you → We're going to get you
[G2] Catch a cold → Go/come down with a cold",DESCRIBE EACH DEFINITION
9999,`certain,adj,"well-grounded, settled, cut and dried, in the bag",,"[G1] Certain things are better left unsaid → Some things are better left unsaid
[G2] The sea only has a certain amount of water → The sea only has so much water
[S] sure",
9999,"`certainly, `definitely, `unquestionably, `without question",adv,"truly, indeed, hands down, by far, come what may/will, no two ways about it, make no mistake (about it), any way you cut it, rain or shine, sink or swim",surely,"[S] decidedly, for sure",
9999,"`certainly, `definitely, `without question",interj,,,[S] of course,
9999,`character,n,"1) bent, bent of mind, breed, hue, ilk, kind, leanning, make, make-up, mark, 2) misfit, one-of, outsider, 3) name, fair name, goodness, uprightness, known worth, truthfulness, worth, worship, 4) grit, manliness, steadfastness",,[G1] He has character → He has an edge to him,
9999,`characteristic,n,"hall-mark, mark, makings, streak, suchness, the way one is, wont",,[G1] He has all the characteristics of a thief → He has all the makings of a thief,
9999,`choice,n,"1) call, choosing, picking and choosing, leaning, liking, mind, naming, wish, 2) freedom of choosing",,"[G1] I don't think that's the right choice → I don't think that's the way to go
[S] decision","MERGE WITH CHOICE, OPTION, DECISION?"
9999,`circa,prep,thereabouts,around,[G1] He left his hometown circa 1950 → He left his hometown in 1950 or thereabouts,
9999,`circulate,vb,"spread, leak (out), break, come out, get about, unfold",go around,[G1] After the news circulated → After the news broke,
9999,`close,vb,"1) shut, shut up, fasten, lock, stop up, 2) be over, end, come to an end, go out of business, put an end to, shut down, stop, wind up",,[G1] Close the door → Shut the door,
9999,`collection,n,"hoard, heap, body, heaping up, set, stock",,[G1] A huge collection of evidence → A huge body of evidence,
9999,`combine,vb,"tie in (with), mix, link (up)            1) to bind, mingle, pound together, put together, shake/stir together, 2) to get together, link up, make one, team up",,[G1] He did more than both of them combined → He did more than both of them put together,PUT TOGETHER
9999,`comment,vb,"speak to sth, go into, handle, say something about, speak about, talk about, write about, give one's thoughts on, deal with, deem, throw light on, understand by, unfold, write up, put a meaning on, to be spokesman",,[G1] I can't comment on that → I can't speak to that,
9999,`compare,vb,"liken, fare against, hold up against, match, bring near, set/put side by side, draw out likenesses",,"[G1] How do these two brands compare? → How do these two brands fare against each other?
[G2] Let's see how your axe compares to mine → Let's see how your axe fares against mine 
[G3] How does my team compare to yours? → How does my team hold up against yours?
[G4] It's a paradise compared to this → It's a paradise next to this",
9999,`completely,adv,"wholly, fully, in full, thoroughly, utterly, downright, wholeheartedly, altogether, all the way, in every way",,"[G1] This is completely out of step with what we asked for → This is altogether out of step with what we asked for
[G2] This idea can be discarded completely → This idea can be discarded wholesale/out of hand/altogether/thoroughly
[G3] Completely wrong → Dead wrong",
9999,"`complicated, `complex",adj,"many-sided, manifold, knotty, tangled, mind-bending, hard to understand more than meets the eye",hard to wrap one's mind around,[G1] It's more complicated → There is more to it,
9999,`concentrate,vb,"[D2|to fix (as one's attention) steadily toward a central objective] home in (on), hone in (on), heed, keep one's mind on (sth),                                     1) to bethink, bring one's mind to bear, heed, set/put/ one's mind to, think, 2) to cluster, come together, forgather, gather, throng",,[G1] He concentrated on taking over the country → His sights were set on taking over the country,PUT TOGETHER
9999,`concern,vb,"make smn worry, worry, bother, upset, have to do with, be for",,"[G1] As far as I'm concerned → For all I know/care
[G2] This does not only concern the needy → This is not only for/about the needy
[S] regarding",
9999,`conclude,vb,"end, wrap up, take away from, come away, gather",glean (from),"[G1] We can now conclude our conference → We can now end our conference
[G2] What can we conclude from this? → What are we to make of this? → What can we take away from this?
[G3] We concluded that he was a good man → We took away that he was a good man → We came away thinking that he was a good man",
9999,`conclusion,n,"takeaway, last word, call, bottom line",,[G1] Here are our main conclusions from our talk → Here are our main takeaways from our talk,
9999,`condolence,n,,,[G1] My condolences → I'm sorry for your loss,
9999,`connect,vb,"link, tether",tap into,[G1] Connect the dots → Put one and two together,
9999,`conquer,vb,,,[G1] The Assyrians conquered Israel → Israel fell to the Assyrians,
9999,`cons,n,"downside(s), the bad",,"[G1] You have to look at the pros and cons → You have to look at the the good and the bad
[G2] There are also cons → There is also a bad side to it
[S] pros",
9999,`consecutively,adv,"one after the other, back-to-back, straight, in a row, one behind the other",,[G1] I had to work for five hours consecutively → I had to work for five hours straight,
9999,`considering,prep,"given (this/that), bearing in mind, keeping in mind, in light of, since",,"[G1] Considering the breadth of his knowledge → Given the breadth of his knowledge
[G2] Considering this, will he win? → Given this, will he win?",
9999,`consistent,adj,"true to sth, in keeping with, in line with",,[G1] It's consistent with what we've seen so far → It's in line with what we've seen so far → It's true to what we've seen so far,
9999,`constantly,adv,"always, all the time, steadfastly",,"[G1] He's constantly telling me what to do → He keeps telling me what to do
[S] frequently",FIX. CONSTANTLY AND FREQUENTLY DON'T MEAN THE SAME THING
9999,`contain,vb,have,,[G1] Debates rarely contain any substance → Debates rarely have any substance (to them),
9999,`contradict,vb,"go against, belie, gainsay, show otherwise",,[G1] This contradicts your last statement → This goes against your last statement,
9999,`convenient,adj,"handy, good, right, timely, fitting, helpful, well-timed",,[G1] The funding came at convenient time → The funding couldn't have come at a better time,
9999,`convince,vb,"make smn believe, get smn to believe, get, sway, talk into, win smn over, bring home to, bring over, tip smn over, work on smn, sell smn on",,"[G1] He did everything to convince me to come on board → He did everything to get me to come on board
[G2] It took a long time to convince him → It took a long time to tip him over
[G3] No one can convince me otherwise → No one can tell me otherwise",
9999,`cost,vb,"be worth, go for, set smn back",,"[G1] How much does this cost? → How much is this worth? → How much is this? → How much does this go for? → How much will this set me back?
[S] pay",
9999,`creative,adj,"[D1|of things] new, never though of before, outside the box, fresh",,"[G1] He is creative → He thinks outside the box
[S] innovative, intelligent",
9999,`date,vb,"[D1|to go on a social engagement with] go out (with), take out, see, woo",,[G1] Are you dating someone right now? → Are you seeing anybody right now?,
9999,`defend,vb,"shield, uphold, look after, side with, take the side of, stand up for, have smn's back, stick up for, back",,"[G1] They managed to defend themselves → They managed to hold their own
[S] protect",
9999,"`deliberately, `intentionally, `on purpose",adv,"[D1|with the knowledge of one's deeds] knowingly, wittingly, willingly, willfully, of one's own free will, out of one's own head, with one's eyes open, go out of one's way (to) [D2|in a thought-out way] carefully, heedfully, slowly, thoughtfully, warily",,"[G1] He didn't do that deliberately → He didn't mean to do that
[G2] He did that deliberately → He knew what he was doing",
9999,`deny,vb,,turn down,[G1] No one can deny that → No one can take that away from you,
9999,`depend,vb,"lean on, hinge on/upon, rest on/upon, ride on, hang on, come down to, be up to",count on,"[G1] It depends on who you ask → It (all) comes down to whom you ask  → It's all about whom you ask
[G2] That depends upon/on you → That is up to you
[G4] It says something else depending on the country → It says something else in each country
[S] rely, responsible
[S|G4] base",
9999,`describe,vb,"outline, set out, set forth, tell, call",,"[G1] Let me describe what he looked like → Let me tell you what he looked like
[G2] He described him as a tall, slender man → He said he was a tall, slender man
[G3] The editor described it as nonsense → The editor called it nonsense
[S] explain",
9999,`deserve,vb,"be worth (sth/it), be worthy of, earn, ought to, have it coming",,"[G1] I think he deserves another chance → I think he is worth another chance → I think we ought to give him another chance
[S] justify",
9999,"`destiny, `fate",n,"be meant to be/happen, be (written) in smn's/the stars, be god's will",fate,"[G1] I know it's my destiny → I know it was meant to be
[G2] It wasn't his destiny to win → It wasn't in the stars for him to win → He wasn't meant to win
[S] destined for, purpose",
9999,`detract,vb,take away (from),,[G1] The weather didn't detract from the overall experience → The weather didn't take away from the overall experience,
9999,`device,n,,,[G1] I'll leave you to your own devices → I'll leave you alone,KEEP?
9999,`disagree,vb,"say/think otherwise, be at odds (with/over/about), be against, speak (out) against, not sit well with smn, not be with smn (on sth), not be on one's side, butt heads (with)",,"[G1] This is the only thing we disagree about → This is the only thing we are at odds with
[G2] They might disagree with such a change → Such a change might not sit well with them
[G3] I disagree → I don't think so → I think not → Speak for yourself",
9999,`discard,vb,"throw out, throw away, do away with, get rid of, weed out",,"[G1] This idea can be discarded → This idea can be thrown out
[S] dismiss",
9999,`discourage,vb,lose heart,,"[G1] We shouldn't be discouraged by that → We shouldn't lose hope/heart from that
[S] pessimistic, pessimism",
9999,`disposal,n,,,[G1] What tools do we have at our disposal? → What tools do we have on our side? → What tools do we have with us? → What tools do we have?,
9999,`distinguish,vb,,,"[G1] Can you distinguish between this stone and that stone? → Can you tell this rock from that rock?
[S] differentiate, discern",
9999,`doubt,n,"mistrust, qalm, have misgivings, fear, faltering, wavering",faithlessness,"[G1] There should be no doubt that he loves us → There should be no mistake that he loves us
[G2] Last week he was awful, no doubt about it → Last week he was awful, no two ways about it → Any way you look at it/cut it, last week he was awful
[S] apprehension
[S|G1,G2] certainly",
9999,`encourage,vb,"[D1|to fill with courage or strength of purpose] bear up, buck up, chirk (up), liven (up), hearten, gladden, steel, strengthen, boost, quicken, stir [D2|to help the growth of] prod, spur, spur on, stoke, forward, foster, further, back, uphold, stake, underwrite, boost, plug, tout, work (for)",cheer up,"[G1] We should be encouraged from that → We should take hope/heart from that
[S] optimism, optimistic",
9999,`equally,adv,"as, no less, as much, not less, every bit as",just as,"[G1] He is equally as smart → He is as smart as she is
[S] just as",
9999,`eventually,adv,"sooner or later, (somewhere) along the way/line/road, (somewhere) down the road/line, sometime, someday, one day, one of these days, given (enough) time, in time, (all) in good time, in the fullness of time, at (long) last, in the end, lastly, when all is said and done, when it's all said and done",,"[G1] You'll get tired eventually/at some point → You'll get tired sooner or later
[G2] I remember that at some point we met a dead end → I remember that we met a dead end somewhere along the road
[G3] I'll get it back eventually → I’ll get it back sometime
[F1] I will eventually make one → I will get around to making one 
[S] at some point, finally",
9999,`evidence,n,"clue(s), witness",proof,"[G1] His rough hands are evidence of his hard life → His rough hands tell of a hard life
[G2] There is no evidence that you did it → There is nothing showing/to show that you did it
[G3] This is evidence of his innocence → This speaks to his innocence
[S] prove",
9999,`exaggeration,n,"stretch, reach",,[G1] That last point was somewhat of an exaggeration → That last point was somewhat of a reach,
9999,`excessive,adj,"too much, be long on sth",,[G1] Critics found the book to have excessive wordplay and little to offer in terms of plot → Critics found the book to be long on wordplay and short on plot,
9999,`excited,adj,stoked,,"[G1] I'm excited to do this → I'm looking forward to this
[G2] Don't get too excited → Don't get your hopes up",
9999,`exit,n,way out,,[G1] I'd be happy to show you the exit → I'd be happy to show you the way out,
9999,`expire,vb,"go bad, not keep",turn,[G1] The milk is about to expire → The milk is about to go bad → The milk won't keep for much longer,
9999,`express,vb,give out,,[G1] They still express the same idea → They still give out the same idea,
9999,`extent,n,"lengths, reach, breadth, width, harshness, sweep",scope,"[G1] The extent they will go to avoid difficult conversations → The lengths they will go to avoid difficult conversations
[G2] The pictures show the extent of food insecurity in America → The pictures show how widespread food insecurity is in America",
9999,`fail,vb,"do badly, flop, fall through, fold, misfire, go under, go belly up, fall flat, bite the dust, flatline",,[G1] When all else fails → When nothing else works,
9999,`familiar,adj,"[D1|closely acquainted] bosom, friendly, inward, near, thick, tight, buddy-buddy [D2|having information especially as a result of study or experience] abreast, up, skilled in, at home in/with, well up on, up to speed, in the know about, clued in on, clued up on, plugged into, switched on to [D3|often observed or encountered] everyday, household","chummy, close",[G1] Are you familiar with John? → Have you heard of John? → Do you know John?,
9999,`fault,n,,,"[G1] If they lose this match, that's their fault → If they lose this match, it's on them
[G2] Sorry, my fault → Sorry, my mistake → Sorry, my bad
[S] mistake",
9999,`favor,n,,,"[G1] Time is not in your favor → Time is not on your side
[G2] I want to return the favor → I want to make it up to you",
9999,`field of vision,n,eyeshot,,[G1] He was within my field of vision → He was within eyeshot,
9999,`fortunately,adv,"luckily, thankfully, good thing",,"[G1] Fortunately, I brought my water bottle with me → Good thing I brought my water bottle with me → Lucky I brought my water with me",
9999,`found,vb,,,"[G1] Our family is founded in the church → Our family is rooted in the church
[S] establish",
9999,`future,adj,"to come, soon-to-be",,"[G1] These are some of our future customers → These are some of our soon-to-be customers
[G2] This will inspire many future generations → This will inspire many generations to come",
9999,`future,n,"tomorrow, hereafter, time ahead, what lay/lies ahead, coming times",,"[G1] Try to think about your future → Try to think about what lies ahead → Try to think about what's coming/what's to come → Try to think about what's ahead of you
[G1] sign of the future → A sign of things to come
[G3] In the future → From now on → Going forward → From here on out
[G4] I'll make one in the future → I'll make one later (on)
[G5] I don't know what the future holds → I don't know what tomorrow holds
[G6] For the foreseeable future → For the time being
[S] henceforth",
9999,`habit,n,"way, wont",,"[G1] He's a good man, but he's set in his habits → He's a good man, but he's set in his ways",
9999,`hard-pressed,adj,strapped,,[G1] You'd be hard-pressed to find a better friend → You'd be strapped to find a better friend,
9999,`hypothesize,vb,"think of, make up, guess, game out, say, go by",,"[G1] It is always fun to hypothesize different scenarios that could play out → It is always fun to game out different scenarios that could play out
[S] imagine",MERGE WITH IMAGINE?
9999,`identity,n,,,[G1] It's not a big part of my identity → It's not a big part of who I am,
9999,`ignore,vb,"overlook, blink at, shut one's eyes to, blow smn/sth off, never mind, look the other way, turn one's back on, gloss over, balk, fall on deaf ears, go in one ear and out the other",,[G1] His proposals were ignored → His proposals fell on deaf ears,EXAMPLES!
9999,`imaginable,adj,,,"[G1] They tried every trick imaginable to sway him → They tried every trick there is/out there/you can think of/in the book/under the sun to sway him
[S] possible",
9999,`imagine,vb,"dream, dream up, see, game out, think, think about/of, fathom, say",,"[G1] Try to imagine a world without him → Try to think of a world without him
[G2] Try to imagine what that would do → Just try to game out what that would do
[G3] He imagined the whole thing → He dreamt up the whole thing
[S] hypothesize",
9999,`importance,n,"weight, heft, weightiness, worth",,[G1] Of little importance → Of little weight → Of little worth,
9999,`impossible,adj,"not in the least likely, unheard-of, out of reach, no way",,"[G1] It's impossible to know what he's up to → There's no telling what he's up to
[G2] Nothing is impossible → Anything can happen → You never know",
9999,`impression,n,,,"[G1] What's your impression of John? → What do you think/make of John?
[G2] He left quite an impression last night → He stood out last night",
9999,`imprison,vb,"lock (smn) up, put (smn) away",,[G1] They imprisoned him for ten years → They put him away for ten years,
9999,`in existence,prep phr,"ever, out there, there is, in the world",,"[G1] John is the smartest man in existence → John is the smartest man ever/out there/there is/in the world
[G2] They tried every trick in existence to sway him → They tried every trick there is/out there/you can think of/in the book/under the sun to sway him
[S] exist, existence, possible, imaginable",
9999,`in favor of,prep,for,,"[G1] She left her previous job in favor of a better one → She left her previous job for a better one
[G2] He is in favor of the death penalty → He is for the death penalty
[S] in the interest of, in order to",
9999,`in question,prep,"at hand, talking about, being talked about",,[G1] The subject in question → The subject at hand → The subject we're talking about → The subject being talked about,
9999,`in the event of,prep,"if, if there is, if there is going to be, if there should be, should there be, if sth were to/should happen, if it so happens that, lest, for fear that ",,"[G1] We want to be ready in the case/event of a hold-up → We want to be ready if there is (going to be) a hold-up → We want to be ready if a hold-up were to happen
[G2] In the event of an emergency → If there is an emergency
[S] in the case of",
9999,`inclined,adj,"given to, wont, ready, be likely to, lean towards",tend to,"[G1] She isn't inclined to be angry → She isn't given to anger
[G2] You're so inclined to see discrimination → You're so ready to see discrimination",
9999,`inconvenience,vb,put (smn) out,,[G1] I didn't want to inconvenience you → I didn't want to put you out,
9999,`influence,n,"clout, sway, hold (on sth), reach",,"[G1] How much of an influence he have? → How much pull does he have?
[G2] This could lessen their influence of other countries → This could lessen their hold on other countries
[G3] Its influence didn't end here → Its reach didn't end here
[S] control",
9999,`inform,vb,"tell, let smn know, make (smn) aware, clue smn in, fill smn in, run sth by smn, break sth to smn, get word from/of",,[G1] They should be informed of what happened → They should be made aware of what happened,
9999,`intend,vb,"want, eye, look to, set out to",,"[G1] The red team intends to punish the blue team → The red team is looking to punish the blue team → The red team is eyeing to punish the blue team
[G2] This is not the speech I intended to give → This is not the speech I set out to give
[S] want",
9999,`interested,adj,"keen, keen about, keen on, be into sth, have a thing for, open (to sth), be big on, be all about","turn (smn) on to, be turned on to sth","[G1] He's not interested in finding out the truth → He's not too keen about finding out the truth
[G2] He wasn't very interested in telling him → He wasn't very keen on telling him
[G3] Are you still interested in the idea? → Are you still open to the idea?
[S] enjoy",
9999,`interior,n,inside,,[G1] The interior of the building → The inside of the building,
9999,`interpret,vb,"read, take it, come off (as), take this/that/it to mean, look, make of sth/smn, (any way you) cut it/look at it",come across,"[G1] This could be interpreted as a threat → This could come off as a threat
[G2] It's a wake-up call any way you interpret it → It's a wake-up call any way you look at it/see it/cut it
[G3] You should not interpret that as a win → You should not take that as a win
[G4] The church will interpret that as us suing them → The church will read that as us suing them
[G5] You can see how this could be interpreted → You can see how this looks
[G6] How do you interpret this? → What do you make of this?
[S] assess, conclude",
9999,`interpretation,n,"reading, read, take",,"[G1] My interpretation of it was different than yours → My reading of it was different than yours → My read of it was different than yours
[S] opinion",
9999,`intimidate,vb,"faze, strongarm, browbeat, cow, scare",,[G1] Con artists are not intimidated by the law → Con artists are not cowed by the law,
9999,`introduce,vb,get smn into sth,,"[G1] He introduced me to bodybuilding → He got me into bodybuilding
[G2] I introduce you to John → Meet John",
9999,`involve,vb,"be at play, bring into play, come into play, bring smn/sth into sth, drag smn into sth, sink one's teeth into, lose oneself in",,"[G1] This is what happens when political agendas are involved → This is what happens when political agendas are at play → This is what happens when political agendas come/are brought into play
[G2] Don't involve John in this mess → Don't bring John into this mess → Keep John out of this mess
[G3] He was involved in the planning → He was in on the planning
[S] absorve, immerse, involved
[S|G3] responsible",
9999,`justify,vb,"bear, worth, be/become grounds for, call for",warrant,"[G1] It warrants repeating → It bears repeating → It's worth repeating
[S] deserve",
9999,`label,vb,"brand, name, call",,[G1] He was labeled a fool by everyone → He was branded a fool by everyone,
9999,`legacy,n,,,"[G1] His legacy is one of the worst in history → He will go down as one of the worst leaders ever
[S] remember",
9999,`lenient,adj,"forgiving, sparing, kind, kindly, kindhearted",,[G1] They had to make their demands more lenient → They had to let up on their demands,
9999,`majority,n,"most, bulk",lion's share,[G1] I've spent the majority of my life in Dorset → I've spent most of my life in Dorset → I've spent the bulk of my life in Dorset,
9999,`manage,vb,"[D1|to control] oversee [D2|to meet one's needs] get by, get along, make do, make out, make ends meet, earn one's keep, scrape by, make a living, eke out a living, hold on to life",,"[G1] He had managed just fine in the stock market → He had made out handsomely in the stock market
[S|D1] control",
9999,`margin,n,"bit, deal",,[G1] John is leading in the polls by a good margin → John is leading in the polls by a good bit/deal,
9999,`maximum,adj,"no more than, tops, up to",,[G1] Five people maximum → Up to five people → No more than five people → five people tops,
9999,`mention,vb,"bring up, speak of, come up",broach,[G1] Was her name mentioned at all? → Did her name come up at all?,
9999,`misguided,adj,misheld,,[G1] This is a misguided conception about my faith → This is a misheld conception about my faith,ADD MORE SYNONYMS
9999,`mount,vb,"build, build up",,[G1] The pressure was starting to mount → The pressure was starting to build,
9999,`notice,vb,"see, heed, pick up (on), spot, take heed of, take note of",,"[G1] No one will notice → No one will be (any) the wiser
[S] realize",
9999,`notorious,adj,known for how (adj) smn/sth is,,[G1] Cartoons from that era are notorious for how bad they are → Cartoons from that era are known for how bad they are,
9999,`notoriously,adv,known for how (adj) smn/sth is,,[G1] Cartoons from that era are notoriously bad → Cartoons from that era are known for how bad they are,
9999,`obey,vb,,,[G1] Obey me → Do as I say,
9999,`obvious,adj,"[D1|very noticeable] glaring, striking, marked, stark, clean-cut [D2|not subject to misinterpretation] open-and-shut, clean-cut, no-brainer, on the nose, go without saying","clear, eye-catching","[G1] It's obvious that he's ignorant → He's ignorant, and it shows",
9999,`obviously,adj,"markedly, openly, rightly, truly, needless to say, (it/that) goes without saying",clearly,"[G1] He's obviously ignorant → He's ignorant, and it shows",
9999,`occupy,vb,her body sound for keeping,,[G1] The books on finance occupy three shelves → The books on finance take up three shelves,
9999,`occur,vb,"happen, fall upon",,"[G1] It didn't occur to me → I didn't think of it
[G2] It didn't occur to me to do that → I didn't think to do that
[G3] This bigram occurs five times in the text → This bigram happens five times in the text → This bigram can be found/seen five times in the text → There are five bigrams in the text
[S] take place",
9999,`of course,adv,"it goes without saying, needless to say, as you know",,"[G1] And that man is, of course, John → And that man is none other than John",
9999,`opine,vb,"weigh in (on), chime in, speak to sth, speak one's mind, come out, have one's say, say what one thinks",,"[G1] I can't opine on how good his writing is → I can't speak to how good his writing is
[S] interpret, assess",
9999,`opportunity,n,,,"[G1] There is an opportunity to cooperate → There is room for cooperation
[G2] Not many of us have the opportunity to do that → Not many of us get to do that
[G3] This could be an opportunity for us to start anew → This could be a way for us to start anew
[S] change",
